state,distance_to_left,distance_to_right,delta_left_lane,delta_right_lane
0,162.90969071680448,127.76017210664642,0.0,0.0
0,163.22341170600765,130.73021179276577,0.31372098920317626,2.9700396861193354
0,163.1223430339327,130.78993489906034,0.21265231712823152,3.0297627924139285
0,162.36968243852255,131.44922792297987,-0.5400082782819311,3.6890558163334575
0,161.74349658597237,132.04284049081366,-1.0584437003469531,2.2381188328860615
0,161.58902382600243,130.3231810259201,-0.8821970893644249,1.1838044453485992
0,160.8741254079758,129.56314027984814,-0.7634673101146022,0.22070540067355182
0,161.03811950548223,128.32760275491725,-0.6226926793860379,-0.013090959781479228
0,160.8687548390204,129.03669138116342,-0.9081438277403228,0.6716261761559552
0,159.75261900378968,130.1270331220489,-0.9779208152931005,0.9358398040894655
0,159.1699877916968,130.95537956068958,-1.2816798025943883,1.2056045027804174
0,157.5796248531438,133.2811920913897,-1.8765503357001136,1.093319579041463
0,157.1002612774679,132.85710368777805,-1.942068230633481,0.7875629471078411
0,156.93896652479606,133.0337153435855,-1.6543260107406241,0.2915517907144505
0,157.02412191994767,132.8265127267472,-0.9746591256993525,-0.09532665951960836
0,158.03632384688783,131.83431492054342,-0.9100628564728538,0.5679293421623157
0,158.28616042720495,132.47065101571312,-0.8049678574512512,1.3167722732115805
0,159.30351327764902,133.06203059156144,-0.4604186354640348,1.8718540309987048
0,159.65452501470048,133.12568837267818,-0.039271063781473006,0.9358185792369682
0,159.98773746908756,132.24740834756955,0.2191705219546492,0.2530751380245789
0,160.53575315686365,132.82038001696463,0.4351807797487794,0.1690013210639279
0,160.0540646387205,133.21180500036547,1.0150492084946137,0.20850039798310432
0,159.75412537824468,135.34065969130336,0.9282271904100895,1.0810908904388299
0,159.33750000566243,136.31752866342475,0.6322777682344537,0.8206002834502556
0,158.59724595635163,136.97452226763824,0.0746544800796812,1.8559599738300308
0,158.41505568319167,136.69375195739417,0.10499630270544458,1.1588528113132952
0,158.8721891317682,135.3370344234933,0.203225279888872,0.9141189256152018
0,158.97126817509735,135.3896660613794,-0.12986988734780028,0.09245065502103103
0,158.71930770379694,134.3107739967056,-0.4509251788032714,0.3862194087006884
0,157.9311978353656,134.72759584902315,-0.9520310326086644,1.0043744487826758
0,157.2210208521354,136.243031536554,-0.9897696009817594,1.3521253455237712
0,156.98599731223047,137.5765332406727,-0.9830098935823998,1.3643077015329539
